enzyme	name	all	unique
AlfI	unclassified	1997	1950
AlfI	Azonexaceae	16390	15449
AlfI	Rhodocyclaceae	23900	20447
AlfI	Zoogloeaceae	98106	90245
AlfI	unclassified	39178	31422
AlfI	Bradymonadaceae	8379	3587
AlfI	unclassified	9230	4422
AlfI	Desulfarculaceae	4748	4431
AlfI	Desulfobacteraceae	35775	35282
AlfI	Desulfobulbaceae	23019	22739
AlfI	Desulfohalobiaceae	6148	6015
AlfI	Desulfomicrobiaceae	9121	8879
AlfI	Desulfonatronaceae	6352	6260
AlfI	Desulfovibrionaceae	123286	121537
AlfI	Desulfurellaceae	1841	1815
AlfI	Desulfuromonadaceae	18141	17811
AlfI	Geobacteraceae	42470	41757
AlfI	Anaeromyxobacteraceae	4597	4470
AlfI	Archangiaceae	49996	48446
AlfI	Kofleriaceae	5633	5473
AlfI	Labilitrichaceae	3987	3938
AlfI	Myxococcaceae	97179	95079
AlfI	Nannocystaceae	7409	7257
AlfI	Polyangiaceae	35116	34448
AlfI	Sandaracinaceae	3956	3874
AlfI	Vulgatibacteraceae	896	858
AlfI	unclassified	11685	11448
AlfI	Syntrophaceae	4268	4226
AlfI	Syntrophobacteraceae	7527	7405
AlfI	Syntrophorhabdaceae	906	885
AlfI	Candidatus Desulfofervidaceae	279	273
AlfI	unclassified	3952	3343
AlfI	Campylobacteraceae	54093	52490
AlfI	Helicobacteraceae	65190	63180
AlfI	Hydrogenimonaceae	297	294
AlfI	unclassified	416	407
AlfI	Nautiliaceae	740	734
AlfI	unclassified	2207	2184
AlfI	Acidiferrobacteraceae	5592	5386
AlfI	Aeromonadaceae	195695	185717
AlfI	Succinivibrionaceae	7430	7286
AlfI	Alteromonadaceae	251733	242510
AlfI	Colwelliaceae	49406	47355
AlfI	Ferrimonadaceae	19391	18955
AlfI	Idiomarinaceae	54866	51939
AlfI	Moritellaceae	8192	8108
AlfI	Pseudoalteromonadaceae	162551	157496
AlfI	Psychromonadaceae	16739	16562
AlfI	Shewanellaceae	120721	118552
AlfI	unclassified	5942	4867
AlfI	Arenicellaceae	1620	1603
AlfI	Cardiobacteriaceae	8354	8092
AlfI	Cellvibrionaceae	62684	61986
AlfI	Halieaceae	45581	44564
AlfI	Microbulbiferaceae	33353	32687
AlfI	Porticoccaceae	4673	4602
AlfI	Spongiibacteraceae	18201	17881
AlfI	Chromatiaceae	96641	94472
AlfI	Ectothiorhodospiraceae	91375	88053
AlfI	Granulosicoccaceae	5278	5187
AlfI	Halothiobacillaceae	4659	4399
AlfI	Thioalkalibacteraceae	1103	951
AlfI	Thioalkalispiraceae	3437	3231
AlfI	Wenzhouxiangellaceae	6160	5944
AlfI	Woeseiaceae	2628	2608
AlfI	unclassified	3892	3684
AlfI	Budviciaceae	8391	8036
AlfI	Enterobacteriaceae	805730	726199
AlfI	Erwiniaceae	248677	220648
AlfI	Hafniaceae	29872	26045
AlfI	Morganellaceae	105239	96836
AlfI	Pectobacteriaceae	116155	108981
AlfI	Thorselliaceae	652	639
AlfI	Yersiniaceae	280277	247516
AlfI	unclassified	16902	10830
AlfI	Immundisolibacteraceae	2287	2101
AlfI	Coxiellaceae	6506	6404
AlfI	Legionellaceae	66137	65647
AlfI	Crenotrichaceae	2616	2574
AlfI	Methylococcaceae	77671	75217
AlfI	Methylothermaceae	1023	993
AlfI	Algiphilaceae	2483	2369
AlfI	Sinobacteraceae	67306	64936
AlfI	Alcanivoracaceae	42077	38747
AlfI	Balneatrichaceae	6080	4596
AlfI	Endozoicomonadaceae	15396	15075
