enzyme	name	all	unique
AlfI	Halopenitus	849	595
AlfI	Halorubrum	9813	9122
AlfI	Salinigranum	1185	1114
AlfI	unclassified	569	506
AlfI	Halobiforma	1177	1055
AlfI	Halopiger	2366	2145
AlfI	Halostagnicola	1002	919
AlfI	Haloterrigena	5164	4240
AlfI	Halovivax	628	601
AlfI	Natrarchaeobius	1141	1076
AlfI	Natrialba	4202	3892
AlfI	Natrinema	4428	3894
AlfI	Natronobacterium	849	773
AlfI	Natronococcus	1876	1753
AlfI	Natronolimnobius	2646	2310
AlfI	Natronorubrum	2963	2695
AlfI	Salinarchaeum	454	438
AlfI	Saliphagus	383	342
AlfI	Methanobacterium	2501	2487
AlfI	Methanobrevibacter	2507	2488
AlfI	Methanosphaera	291	289
AlfI	Methanothermobacter	1081	1074
AlfI	Methanothermus	68	66
AlfI	Methanocaldococcus	846	831
AlfI	Methanotorris	407	398
AlfI	Methanococcus	1268	1242
AlfI	Methanothermococcus	257	243
AlfI	Methanofervidicoccus	94	91
AlfI	Methanocella	2383	2348
AlfI	Methanocorpusculum	931	924
AlfI	Methanoculleus	5190	5147
AlfI	Methanofollis	2148	2118
AlfI	Methanogenium	805	799
AlfI	Methanolacinia	1068	1061
AlfI	Methanomicrobium	508	506
AlfI	Methanoplanus	680	675
AlfI	Methanolinea	657	653
AlfI	Methanoregula	1794	1788
AlfI	Methanosphaerula	687	682
AlfI	Methanospirillum	1716	1707
AlfI	Candidatus Methanoperedens	2157	2148
AlfI	Methanimicrococcus	327	327
AlfI	Methanococcoides	2692	2680
AlfI	Methanohalobium	244	241
AlfI	Methanohalophilus	1983	1976
AlfI	Methanolobus	3286	3259
AlfI	Methanomethylovorans	701	694
AlfI	Methanosalsum	375	374
AlfI	Methanosarcina	12339	12256
AlfI	Methanothrix	1014	990
AlfI	Methermicoccus	773	768
AlfI	Candidatus Syntrophoarchaeum	125	125
AlfI	Methanonatronarchaeum	97	96
AlfI	Methanopyrus	326	326
AlfI	Palaeococcus	429	411
AlfI	Pyrococcus	929	904
AlfI	Thermococcus	6393	6338
AlfI	Candidatus Methanomethylophilus	839	832
AlfI	Candidatus Methanoplasma	329	328
AlfI	Methanomassiliicoccus	1183	1180
AlfI	Cuniculiplasma	241	236
AlfI	Acidiplasma	340	336
AlfI	Ferroplasma	387	380
AlfI	Picrophilus	282	282
AlfI	Thermoplasma	922	907
AlfI	unclassified	291	286
AlfI	unclassified	464	452
AlfI	Aciduliprofundum	781	772
AlfI	Candidatus Nitrosocaldus	628	626
AlfI	Candidatus Nitrosocosmicus	596	590
AlfI	Nitrososphaera	3688	3652
AlfI	Candidatus Nitrosomarinus	98	90
AlfI	Nitrosarchaeum	316	308
AlfI	Nitrosopumilus	1383	1360
AlfI	unclassified	679	667
AlfI	Candidatus Nitrosopelagicus	86	85
AlfI	Candidatus Nitrosotalea	762	742
AlfI	Candidatus Nitrosotenuis	1848	1840
AlfI	unclassified	45	44
AlfI	unclassified	616	595
